Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
998,2.1,C,21.21737605,92.16248399,,bridge,10998,N1,,425.22861,5820.0,24.0,0.01972062448644207,,
999,230.0,,21.21669382,92.16307407,0,link,10999,N1,,425.45860999999996,5820.0,24.0,0.01972062448644207,,
1000,2.0,A,21.21601159,92.16366416,,bridge,11000,N1,,425.46061,5820.0,24.0,0.01972062448644207,,
1001,241.0,,21.21547377,92.16460768,0,link,11001,N1,,425.70160999999996,5820.0,24.0,0.01972062448644207,,
1002,1.8,A,21.21493596,92.1655512,,bridge,11002,N1,,425.70340999999996,5820.0,24.0,0.01972062448644207,,
1003,99.0,,21.21468341,92.16597897,0,link,11003,N1,,425.80240999999995,5820.0,24.0,0.01972062448644207,,
1004,2.2,A,21.21443086,92.16640674,,bridge,11004,N1,,425.80460999999997,5820.0,24.0,0.01972062448644207,,
1005,1056.0,,21.21036779,92.16821238,0,link,11005,N1,,426.86061,5820.0,24.0,0.01972062448644207,,
1006,6.4,A,21.20630473,92.17001802,,bridge,11006,N1,,426.86701,5820.0,24.0,0.01972062448644207,,
1007,240.0,,21.20532286,92.17018737,0,link,11007,N1,,427.10701,5820.0,24.0,0.01972062448644207,,
1008,2.2,A,21.20434099,92.17035673,,bridge,11008,N1,,427.10921,5820.0,24.0,0.01972062448644207,,
1009,278.0,,21.20315408,92.1703787,0,link,11009,N1,,427.38721000000004,5820.0,24.0,0.01972062448644207,,
1010,3.1,A,21.20196717,92.17040067,,bridge,11010,N1,,427.39031,5820.0,24.0,0.01972062448644207,,
1011,483.0,,21.1997998,92.17048897,0,link,11011,N1,,427.87331,5820.0,24.0,0.01972062448644207,,
1012,39.3,A,21.19763242,92.17057726,,bridge,11012,N1,,427.91261,5820.0,24.0,0.01972062448644207,,
1013,297.0,,21.19647397,92.17054237,0,link,11013,N1,,428.20961,5820.0,24.0,0.01972062448644207,,
1014,3.0,A,21.19531553,92.17050747,,bridge,11014,N1,,428.21261,5820.0,24.0,0.01972062448644207,,
1015,612.0,,21.19304431,92.16928889,0,link,11015,N1,,428.82461,5820.0,24.0,0.01972062448644207,,
1016,9.4,A,21.1907731,92.16807032,,bridge,11016,N1,,428.83401000000003,5820.0,24.0,0.01972062448644207,,
1017,324.0,,21.18983252,92.16697384,0,link,11017,N1,,429.15801,5820.0,24.0,0.01972062448644207,,
1018,15.4,D,21.18889194,92.16587736,,bridge,11018,N1,,429.17341,5820.0,24.0,0.01972062448644207,,
1019,941.0,,21.18643318,92.16259,0,link,11019,N1,,430.11440999999996,5820.0,24.0,0.01972062448644207,,
