road,lrp,lat,lon
N1,LRP021a,23.62799946666667,90.60254616666667
N1,LRP022,23.625221600000003,90.6049722
N1,LRP022a,23.6242216,90.6055278
N1,LRP022b,23.6224993,90.6066944
N1,LRP022c,23.6204716,90.6079722
N1,LRP022d,23.6195271,90.6085833
N1,LRP023,23.6161581,90.61088480000001
N1,LRP023a,23.6127891,90.61318630000001
N1,LRP024,23.6094201,90.61548780000001
N1,LRP024a,23.6060511,90.6177893
N1,LRP025,23.6026821,90.6200908
N1,LRP026,23.5993131,90.6223923
N1,LRP026a,23.5959441,90.6246938
N1,LRP026b,23.5917497,90.6293327
N1,LRP027,23.58945795,90.63153417500001
N1,LRP027a,23.5871662,90.63373565
N1,LRP028,23.58487445,90.635937125
N1,LRP028a,23.5825827,90.6381386
N1,LRP028b,23.577916,90.6419719
N1,LRP028c,23.5776104,90.6421108
N1,LRP029,23.5745271,90.6436941
N1,LRP029a,23.572166,90.6451108
N1,LRP029b,23.5718327,90.6453052
N1,LRP030,23.5666111,90.6481663
N1,LRP030a,23.5639167,90.6501944
N1,LRP030b,23.5636944,90.6504722
N1,LRP030c,23.5604167,90.6542222
N1,LRP030d,23.5602222,90.6545
N1,LRP031,23.5599722,90.6548056
N1,LRP031a,23.559027800000003,90.6559444
N1,LRP031b,23.5564444,90.6588611
N1,LRP031c,23.5562222,90.6591389
N1,LRP032,23.5538056,90.6619722
N1,LRP032a,23.5523333,90.6636667
N1,LRP033,23.5487497,90.6678327
N1,LRP033a,23.5474163,90.6694438
N1,LRP033b,23.5469441,90.6699993
N1,LRP033c,23.5442219,90.6731104
N1,LRP034,23.541508933333333,90.67611966666666
N1,LRP035,23.53879596666667,90.67912893333333
N1,LRP035a,23.536083,90.6821382
N1,LRP035b,23.5358608,90.6823604
N1,LRP035c,23.5341386,90.6843052
N1,LRP036,23.5301938,90.688833
N1,LRP036a,23.529916,90.6952219
N1,LRP037,23.530203033333333,90.69982386666668
N1,LRP038,23.53049006666667,90.70442583333333
N1,LRP038a,23.5307771,90.7090278
N1,LRP038b,23.5313882,90.7153611
N1,LRP038b,23.5313882,90.7153611
N1,LRP038c,23.531471600000003,90.7172216
N1,LRP038d,23.5315271,90.7173604
N1,LRP038e,23.5315827,90.7176104
N1,LRP039,23.5312692,90.72246367142857
N1,LRP039a,23.5309557,90.72731694285714
N1,LRP040,23.5306422,90.73217021428572
N1,LRP041,23.530328700000002,90.73702348571427
N1,LRP042,23.5300152,90.74187675714285
N1,LRP042a,23.5297017,90.74673002857142
N1,LRP042b,23.5293882,90.7515833
N1,LRP043,23.52961505,90.75658781666667
N1,LRP044,23.5298419,90.76159233333333
N1,LRP045,23.530068749999998,90.76659685
N1,LRP045a,23.5302956,90.77160136666667
N1,LRP046,23.53052245,90.77660588333333
N1,LRP046a,23.5307493,90.7816104
N1,LRP046b,23.5308882,90.78464756666666
N1,LRP046c,23.5310271,90.78768473333334
N1,LRP047,23.531166,90.7907219
N1,LRP047a,23.5310734,90.79519423333333
N1,LRP048,23.5309808,90.79966656666666
N1,LRP048a,23.5308882,90.8041389
N1,LRP048b,23.53165494,90.80833319999999
N1,LRP049,23.53242168,90.8125275
N1,LRP050,23.533188420000002,90.8167218
N1,LRP050a,23.53395516,90.8209161
N1,LRP050b,23.5347219,90.8251104
N1,LRP051,23.532166233333335,90.82978646666666
N1,LRP052,23.529610566666666,90.83446253333334
N1,LRP052a,23.5272535,90.8396304857143
N1,LRP053,23.524896433333332,90.84479843809524
N1,LRP054,23.522539366666667,90.8499663904762
N1,LRP055,23.5201823,90.85513434285714
N1,LRP056,23.517825233333333,90.8603022952381
N1,LRP056a,23.515468166666665,90.86547024761904
N1,LRP056b,23.5131111,90.8706382
N1,LRP056c,23.51231311818182,90.87653217272728
N1,LRP057,23.511515136363638,90.88242614545455
N1,LRP058,23.510717154545453,90.88832011818182
N1,LRP058a,23.509919172727272,90.89421409090909
N1,LRP059,23.50912119090909,90.90010806363637
N1,LRP060,23.50832320909091,90.90600203636363
N1,LRP060a,23.50752522727273,90.91189600909091
N1,LRP061,23.50672724545455,90.91778998181817
N1,LRP062,23.505929263636364,90.92368395454545
N1,LRP063,23.505131281818183,90.92957792727272
N1,LRP063a,23.504333300000003,90.9354719
N1,LRP063b,23.5038611,90.9371386
N1,LRP063c,23.5028611,90.9412774
N1,LRP064,23.501659625000002,90.94746500000001
N1,LRP065,23.50045815,90.9536526
N1,LRP066,23.499256674999998,90.9598402
N1,LRP066a,23.4980552,90.9660278
N1,LRP067,23.497083,90.97168496666667
N1,LRP068,23.496110800000004,90.97734213333334
N1,LRP068a,23.495138600000004,90.9829993
N1,LRP069,23.493701100000003,90.988117525
N1,LRP070,23.4922636,90.99323575
N1,LRP070a,23.490826100000003,90.998353975
N1,LRP070b,23.4893886,91.0034722
N1,LRP071,23.489277466666667,91.00632406666666
N1,LRP072,23.489166333333333,91.00917593333334
N1,LRP072a,23.4890552,91.0120278
N1,LRP072b,23.4889441,91.01225
N1,LRP073,23.48820518666667,91.01834074
